id,start_date,end_date,low,medium,high
500563,1386-11-29,1387-01-15,0,7467,1493
500609,1386-11-11,1387-01-25,0,16567,3313
970946,1386-12-16,1387-01-31,0,14983,2997
500563,1387-02-05,1387-03-05,0,8800,1760
500563,1387-04-08,1387-05-06,0,8267,1653
970946,1387-02-26,1387-03-30,0,11950,2390
500563,1387-03-05,1387-04-08,0,9300,1860
970946,1387-03-30,1387-04-25,0,11050,2210
500563,1387-06-09,1387-07-07,0,12433,2487
400242,1387-06-15,1387-07-09,150,450,60
500609,1387-06-20,1387-07-18,0,40067,8013
970946,1387-06-30,1387-07-30,0,10600,2120
500563,1387-07-07,1387-08-09,0,12336,4864
400242,1387-07-09,1387-08-13,1140,1350,630
500609,1387-08-21,1387-09-22,0,21067,4213
500563,1387-08-09,1387-10-11,0,29600,5920
400242,1387-12-03,1388-01-19,6660,10950,3540
500609,1388-01-23,1388-02-19,0,28360,5840
500609,1388-03-13,1388-04-08,0,37900,7580
500563,1388-04-25,1388-05-26,0,13600,2720
400242,1388-04-31,1388-06-01,3660,6510,2010
500609,1388-05-10,1388-06-09,0,43200,8640
970946,1388-06-21,1388-07-21,0,8440,1860
500563,1388-06-24,1388-07-30,0,16433,3287
400242,1388-09-01,1388-09-30,3060,5130,1590
500563,1388-09-25,1388-10-26,0,15220,3100
400242,1388-09-30,1388-11-04,3900,6420,2070
500609,1388-11-10,1388-12-05,0,0,0
970946,1388-11-17,1388-12-15,0,9000,1800
970946,1387-12-17,1388-01-31,0,6300,1260
970946,1388-01-31,1388-02-27,0,1717,343
500563,1388-02-07,1388-03-05,0,13520,2760
400242,1388-02-09,1388-03-09,3030,5040,1620
500609,1388-02-19,1388-03-13,0,38233,7647
500563,1388-03-05,1388-03-27,0,8867,1773
500563,1388-03-27,1388-04-25,0,12520,2520
400242,1388-07-02,1388-08-04,3090,5280,1710
970946,1388-07-21,1388-08-21,0,8867,1773
500563,1388-07-30,1388-08-24,0,10767,2153
400242,1388-08-04,1388-09-01,2880,4710,1470
500609,1388-08-10,1388-09-09,0,36267,7253
500609,1388-10-09,1388-11-10,0,6400,1280
970946,1388-10-20,1388-11-17,0,9283,1857
500563,1387-11-08,1387-12-28,0,14000,2800
500609,1387-12-11,1388-01-23,0,67700,13540
500563,1387-11-08,1387-12-28,0,14000,2800
500563,1387-12-28,1388-02-07,0,15600,2320
400242,1388-01-19,1388-02-09,2100,3510,1140
970946,1388-02-27,1388-03-21,0,1683,337
400242,1388-03-09,1388-04-02,2130,3720,1140
970946,1388-03-21,1388-04-17,0,2350,470
400242,1388-04-02,1388-04-31,2760,4860,1500
500609,1388-04-08,1388-05-10,0,50500,10100
970946,1388-04-17,1388-05-22,0,3133,627
970946,1388-05-22,1388-06-21,0,7183,1437
500563,1388-05-26,1388-06-24,0,12567,2513
400242,1388-06-01,1388-07-02,2910,5040,1560
500609,1388-06-09,1388-07-12,0,42467,8493
500609,1388-07-12,1388-08-10,0,35433,7087
970946,1388-08-21,1388-09-23,0,11783,2357
